City,Bureau of Meteorology station number,Year,Month,Day,Date,Latitude,Longitude,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
Perth,9225,2019,12,31,2019-12-31 00:00:00 UTC,-31.96,115.79,29.6,12.9,31.6,0
Sydney,66214,2019,12,31,2019-12-31 00:00:00 UTC,-33.86,151.21,36.6,20.3,28.4,0
Brisbane,40913,2019,12,31,2019-12-31 00:00:00 UTC,-27.48,153.04,29.4,21.2,25.6,3.2
Melbourne,86338,2019,12,31,2019-12-31 00:00:00 UTC,-37.83,144.98,21.2,15.3,29.3,2.4
Adelaide,23000,2019,12,30,2019-12-30 00:00:00 UTC,-34.92,138.6,41.9,26.5,27.2,0
Perth,9225,2019,12,30,2019-12-30 00:00:00 UTC,-31.96,115.79,24.9,15.8,30.8,0.2
Sydney,66214,2019,12,30,2019-12-30 00:00:00 UTC,-33.86,151.21,28.3,19.3,26.1,0
Brisbane,40913,2019,12,30,2019-12-30 00:00:00 UTC,-27.48,153.04,30.1,20.7,27.5,0
Melbourne,86338,2019,12,30,2019-12-30 00:00:00 UTC,-37.83,144.98,40.8,19.7,18.8,0
Adelaide,23000,2019,12,29,2019-12-29 00:00:00 UTC,-34.92,138.6,38.4,21.6,31.2,0.2
Perth,9225,2019,12,29,2019-12-29 00:00:00 UTC,-31.96,115.79,25.8,16.7,19.7,0
Sydney,66214,2019,12,29,2019-12-29 00:00:00 UTC,-33.86,151.21,26.8,19.7,21.9,0
Brisbane,40913,2019,12,29,2019-12-29 00:00:00 UTC,-27.48,153.04,29.2,20.3,30.7,0
Melbourne,86338,2019,12,29,2019-12-29 00:00:00 UTC,-37.83,144.98,33.2,16.8,31.9,0
Adelaide,23000,2019,12,28,2019-12-28 00:00:00 UTC,-34.92,138.6,37.8,23.7,31.6,0
Perth,9225,2019,12,28,2019-12-28 00:00:00 UTC,-31.96,115.79,27.4,16.1,31.7,0
Sydney,66214,2019,12,28,2019-12-28 00:00:00 UTC,-33.86,151.21,30.8,19.1,31.5,0
Brisbane,40913,2019,12,28,2019-12-28 00:00:00 UTC,-27.48,153.04,28.9,20.9,20.7,0
Melbourne,86338,2019,12,28,2019-12-28 00:00:00 UTC,-37.83,144.98,28.4,16.7,20.6,0
Adelaide,23000,2019,12,27,2019-12-27 00:00:00 UTC,-34.92,138.6,42.1,23.1,30.9,0
Perth,9225,2019,12,27,2019-12-27 00:00:00 UTC,-31.96,115.79,27.3,18.6,31.2,0
Sydney,66214,2019,12,27,2019-12-27 00:00:00 UTC,-33.86,151.21,29.1,19.7,30.6,0
Brisbane,40913,2019,12,27,2019-12-27 00:00:00 UTC,-27.48,153.04,27.5,20,19.1,1
Melbourne,86338,2019,12,27,2019-12-27 00:00:00 UTC,-37.83,144.98,23.9,13.6,31.6,0
Adelaide,23000,2019,12,26,2019-12-26 00:00:00 UTC,-34.92,138.6,35.2,16.5,31.7,0
Perth,9225,2019,12,26,2019-12-26 00:00:00 UTC,-31.96,115.79,28.5,18.9,30.6,0
Sydney,66214,2019,12,26,2019-12-26 00:00:00 UTC,-33.86,151.21,29.4,20.1,31,0
Brisbane,40913,2019,12,26,2019-12-26 00:00:00 UTC,-27.48,153.04,29.2,20.8,25.7,14.8
Melbourne,86338,2019,12,26,2019-12-26 00:00:00 UTC,-37.83,144.98,20.5,16.5,26.2,0
Adelaide,23000,2019,12,25,2019-12-25 00:00:00 UTC,-34.92,138.6,35.5,18.1,32.1,0
Perth,9225,2019,12,25,2019-12-25 00:00:00 UTC,-31.96,115.79,35.7,21.5,25.6,0
Sydney,66214,2019,12,25,2019-12-25 00:00:00 UTC,-33.86,151.21,29.3,21.3,28.6,1.6
Brisbane,40913,2019,12,25,2019-12-25 00:00:00 UTC,-27.48,153.04,26.6,21.6,13.3,25.2
Melbourne,86338,2019,12,25,2019-12-25 00:00:00 UTC,-37.83,144.98,27.9,14,32,0
Adelaide,23000,2019,12,24,2019-12-24 00:00:00 UTC,-34.92,138.6,31.5,14.7,29.2,0
Perth,9225,2019,12,24,2019-12-24 00:00:00 UTC,-31.96,115.79,32.5,19,31.9,0
Sydney,66214,2019,12,24,2019-12-24 00:00:00 UTC,-33.86,151.21,29.1,19.3,20.8,0
Brisbane,40913,2019,12,24,2019-12-24 00:00:00 UTC,-27.48,153.04,30.4,24.4,23.7,0
Melbourne,86338,2019,12,24,2019-12-24 00:00:00 UTC,-37.83,144.98,24.5,14.1,31.4,0
Adelaide,23000,2019,12,23,2019-12-23 00:00:00 UTC,-34.92,138.6,33.4,17.3,25.9,0
Perth,9225,2019,12,23,2019-12-23 00:00:00 UTC,-31.96,115.79,31,16.4,31.1,0
Sydney,66214,2019,12,23,2019-12-23 00:00:00 UTC,-33.86,151.21,26.1,16.9,16,0
Brisbane,40913,2019,12,23,2019-12-23 00:00:00 UTC,-27.48,153.04,30.8,22.5,18.8,0
Melbourne,86338,2019,12,23,2019-12-23 00:00:00 UTC,-37.83,144.98,20,12.1,29.2,0
Adelaide,23000,2019,12,22,2019-12-22 00:00:00 UTC,-34.92,138.6,27.8,12.6,17.8,0
Perth,9225,2019,12,22,2019-12-22 00:00:00 UTC,-31.96,115.79,28.4,18.3,24.6,0
Sydney,66214,2019,12,22,2019-12-22 00:00:00 UTC,-33.86,151.21,23.4,18.4,13.7,0
Brisbane,40913,2019,12,22,2019-12-22 00:00:00 UTC,-27.48,153.04,30.1,21.9,26.7,0
Melbourne,86338,2019,12,22,2019-12-22 00:00:00 UTC,-37.83,144.98,19.6,13.1,31.5,0
Adelaide,23000,2019,12,21,2019-12-21 00:00:00 UTC,-34.92,138.6,24.7,17.1,19.1,0
Perth,9225,2019,12,21,2019-12-21 00:00:00 UTC,-31.96,115.79,34.5,15.6,31.9,0
Sydney,66214,2019,12,21,2019-12-21 00:00:00 UTC,-33.86,151.21,29.9,20.5,26.8,0
Brisbane,40913,2019,12,21,2019-12-21 00:00:00 UTC,-27.48,153.04,31.2,20.2,30.5,0
Melbourne,86338,2019,12,21,2019-12-21 00:00:00 UTC,-37.83,144.98,20.2,16.9,28.3,0
Adelaide,23000,2019,12,20,2019-12-20 00:00:00 UTC,-34.92,138.6,43.9,33.6,24,0
Perth,9225,2019,12,20,2019-12-20 00:00:00 UTC,-31.96,115.79,25.8,17.4,23.8,1.8
Sydney,66214,2019,12,20,2019-12-20 00:00:00 UTC,-33.86,151.21,28.9,18.9,29.7,0
Brisbane,40913,2019,12,20,2019-12-20 00:00:00 UTC,-27.48,153.04,30.3,20.1,29.9,0
Melbourne,86338,2019,12,20,2019-12-20 00:00:00 UTC,-37.83,144.98,43.5,13.7,31.4,0
Adelaide,23000,2019,12,19,2019-12-19 00:00:00 UTC,-34.92,138.6,45.3,21.3,32.1,0
Perth,9225,2019,12,19,2019-12-19 00:00:00 UTC,-31.96,115.79,25.1,18.9,20.5,NaN
Sydney,66214,2019,12,19,2019-12-19 00:00:00 UTC,-33.86,151.21,39.8,18.8,23.3,0
Brisbane,40913,2019,12,19,2019-12-19 00:00:00 UTC,-27.48,153.04,29.6,18.7,31.1,0
Melbourne,86338,2019,12,19,2019-12-19 00:00:00 UTC,-37.83,144.98,23.3,17.2,29.3,0
Adelaide,23000,2019,12,18,2019-12-18 00:00:00 UTC,-34.92,138.6,43.7,28.6,32.2,0
Perth,9225,2019,12,18,2019-12-18 00:00:00 UTC,-31.96,115.79,NaN,20.3,31.4,0
Sydney,66214,2019,12,18,2019-12-18 00:00:00 UTC,-33.86,151.21,27.5,16.7,31.2,0
Brisbane,40913,2019,12,18,2019-12-18 00:00:00 UTC,-27.48,153.04,28.9,19.4,30.2,0
